Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_seconds,Sector1Time_seconds,Sector2Time_seconds,Sector3Time_seconds,LapStartTime_seconds,PitInTime_seconds,PitOutTime_seconds,Sector1SessionTime_seconds,Sector2SessionTime_seconds,Sector3SessionTime_seconds
0 days 02:02:25.471000,VER,1,0 days 00:01:27.935000,43.0,2.0,,,0 days 00:00:17.523000,0 days 00:00:38.375000,0 days 00:00:32.037000,0 days 02:01:15.134000,0 days 02:01:53.509000,0 days 02:02:25.546000,288.0,298.0,215.0,303.0,False,HARD,20.0,True,Red Bull Racing,0 days 02:00:57.536000,2025-12-07 14:06:04.599,1,1.0,False,,False,True,87.935,17.523,38.375,32.037,7257.536,,,7275.134,7313.509,7345.546
0 days 02:03:53.364000,VER,1,0 days 00:01:27.893000,44.0,2.0,,,0 days 00:00:17.480000,0 days 00:00:38.303000,0 days 00:00:32.110000,0 days 02:02:43.026000,0 days 02:03:21.329000,0 days 02:03:53.439000,289.0,296.0,215.0,305.0,False,HARD,21.0,True,Red Bull Racing,0 days 02:02:25.471000,2025-12-07 14:07:32.534,1,1.0,False,,False,True,87.893,17.48,38.303,32.11,7345.471,,,7363.026,7401.329,7433.439
0 days 02:05:21.116000,VER,1,0 days 00:01:27.752000,45.0,2.0,,,0 days 00:00:17.539000,0 days 00:00:38.283000,0 days 00:00:31.930000,0 days 02:04:10.978000,0 days 02:04:49.261000,0 days 02:05:21.191000,286.0,297.0,214.0,306.0,False,HARD,22.0,True,Red Bull Racing,0 days 02:03:53.364000,2025-12-07 14:09:00.427,1,1.0,True,TRACK LIMITS AT TURN 1 LAP 45 ,False,True,87.752,17.539,38.283,31.93,7433.364,,,7450.978,7489.261,7521.191
0 days 02:06:49.077000,VER,1,0 days 00:01:27.961000,46.0,2.0,,,0 days 00:00:17.412000,0 days 00:00:38.324000,0 days 00:00:32.225000,0 days 02:05:38.603000,0 days 02:06:16.927000,0 days 02:06:49.152000,291.0,297.0,212.0,305.0,False,HARD,23.0,True,Red Bull Racing,0 days 02:05:21.116000,2025-12-07 14:10:28.179,1,1.0,False,,False,True,87.961,17.412,38.324,32.225,7521.116,,,7538.603,7576.927,7609.152
0 days 02:08:16.948000,VER,1,0 days 00:01:27.871000,47.0,2.0,,,0 days 00:00:17.479000,0 days 00:00:38.241000,0 days 00:00:32.151000,0 days 02:07:06.631000,0 days 02:07:44.872000,0 days 02:08:17.023000,290.0,298.0,215.0,306.0,False,HARD,24.0,True,Red Bull Racing,0 days 02:06:49.077000,2025-12-07 14:11:56.140,1,1.0,False,,False,True,87.871,17.479,38.241,32.151,7609.077,,,7626.631,7664.872,7697.023
0 days 02:09:44.766000,VER,1,0 days 00:01:27.818000,48.0,2.0,,,0 days 00:00:17.430000,0 days 00:00:38.268000,0 days 00:00:32.120000,0 days 02:08:34.453000,0 days 02:09:12.721000,0 days 02:09:44.841000,289.0,297.0,214.0,306.0,False,HARD,25.0,True,Red Bull Racing,0 days 02:08:16.948000,2025-12-07 14:13:24.011,1,1.0,False,,False,True,87.818,17.43,38.268,32.12,7696.948,,,7714.453,7752.721,7784.841
0 days 02:11:12.516000,VER,1,0 days 00:01:27.750000,49.0,2.0,,,0 days 00:00:17.496000,0 days 00:00:38.185000,0 days 00:00:32.069000,0 days 02:10:02.337000,0 days 02:10:40.522000,0 days 02:11:12.591000,,296.0,213.0,306.0,False,HARD,26.0,True,Red Bull Racing,0 days 02:09:44.766000,2025-12-07 14:14:51.829,1,1.0,False,,False,True,87.75,17.496,38.185,32.069,7784.766,,,7802.337,7840.522,7872.591
0 days 02:12:40.502000,VER,1,0 days 00:01:27.986000,50.0,2.0,,,0 days 00:00:17.462000,0 days 00:00:38.300000,0 days 00:00:32.224000,0 days 02:11:30.053000,0 days 02:12:08.353000,0 days 02:12:40.577000,,298.0,213.0,308.0,False,HARD,27.0,True,Red Bull Racing,0 days 02:11:12.516000,2025-12-07 14:16:19.579,1,1.0,False,,False,True,87.986,17.462,38.3,32.224,7872.516,,,7890.053,7928.353,7960.577
0 days 02:14:08.485000,VER,1,0 days 00:01:27.983000,51.0,2.0,,,0 days 00:00:17.478000,0 days 00:00:38.204000,0 days 00:00:32.301000,0 days 02:12:58.055000,0 days 02:13:36.259000,0 days 02:14:08.560000,288.0,298.0,214.0,306.0,False,HARD,28.0,True,Red Bull Racing,0 days 02:12:40.502000,2025-12-07 14:17:47.565,1,1.0,True,TRACK LIMITS AT TURN 1 LAP 51 ,False,True,87.983,17.478,38.204,32.301,7960.502,,,7978.055,8016.259,8048.56
0 days 02:15:36.940000,VER,1,0 days 00:01:28.455000,52.0,2.0,,,0 days 00:00:17.540000,0 days 00:00:38.512000,0 days 00:00:32.403000,0 days 02:14:26.100000,0 days 02:15:04.612000,0 days 02:15:37.015000,290.0,298.0,213.0,307.0,False,HARD,29.0,True,Red Bull Racing,0 days 02:14:08.485000,2025-12-07 14:19:15.548,1,1.0,False,,False,True,88.455,17.54,38.512,32.403,8048.485,,,8066.1,8104.612,8137.015
